"public_essay_id","split","language","rater_score","rater_cefr_level","rater_pass_fail","automarker_score","automarker_confidence","automarker_cefr_level","automarker_pass_fail"
"essay_698290a80eb4348a","test","Spanish",6,"B1","pass",5.87472724914551,0.99985682964325,"B1","pass"
"essay_39691f1a39cc08be","test","French",9,"C1","pass",8.94421195983887,3.8155723025568e-10,"C1","pass"
"essay_f11839687769a119","test","Chinese",4,"A2","fail",3.94157576560974,0.999947309494019,"A2","fail"
"essay_066933820da55496","test","Portuguese",3,"A2","fail",4.05518054962158,0.999851942062378,"A2","fail"
"essay_9242e9367888b2a4","test","Portuguese",5,"B1","pass",4.45590734481812,0.138725131750107,"A2","fail"
"essay_0766e37a319afe30","test","Chinese",6,"B1","pass",5.77004718780518,0.998482167720795,"B1","pass"
"essay_4732b8b01a488d7f","test","Italian",6,"B1","pass",6.04240036010742,0.994617998600006,"B1","pass"
"essay_17290134360c5776","test","Spanish",6,"B1","pass",6.33303833007812,0.877531886100769,"B1","pass"
"essay_a095cf8208f781cd","test","Vietnamese",6,"B1","pass",6.77938938140869,0.569683074951172,"B2","pass"
"essay_8a33e5559861d962","test","Italian",11,"C2","pass",8.69561386108398,4.90843490297266e-08,"C1","pass"
"essay_0b07e65095756fa0","test","Persian",6,"B1","pass",6.47636842727661,0.910409033298492,"B1","pass"
"essay_9d56ed732067dcee","test","Vietnamese",6,"B1","pass",5.9414267539978,0.999716341495514,"B1","pass"
"essay_ac8d91aa1b12894a","test","Vietnamese",5,"B1","pass",5.00207710266113,0.980711817741394,"B1","pass"
"essay_1a5e67b753c82abe","test","Czech",5,"B1","pass",4.36740827560425,0.182784587144852,"A2","fail"
"essay_42364fc3b25aac03","test","German",9,"C1","pass",9.35910129547119,1.49991352671464e-09,"C1","pass"
"essay_fc6e46bb8ba44ec8","test","Spanish",8,"B2","pass",7.07101058959961,0.811016321182251,"B2","pass"
"essay_6ebaa772af840fcc","test","Portuguese",6,"B1","pass",5.1769847869873,0.9998619556427,"B1","pass"
"essay_1fae43b612752c88","test","Spanish",5,"B1","pass",5.51068496704102,0.999916911125183,"B1","pass"
"essay_d237c32de77e6adb","test","Hindi",7,"B2","pass",6.87294769287109,0.823792338371277,"B2","pass"
"essay_df02fb9f81823a46","test","Hindi",9,"C1","pass",8.84210395812988,1.22641221622644e-08,"C1","pass"
"essay_89edb2aabf3e68e5","test","Portuguese",6,"B1","pass",5.70859813690186,0.999967217445374,"B1","pass"
"essay_6b24c75acf3a9ee7","test","Hindi",9,"C1","pass",8.75944519042969,6.89725887514925e-10,"C1","pass"
"essay_502f034e67cf9ada","test","Italian",10,"C1","pass",10.1724090576172,9.26485763108609e-11,"C1","pass"
"essay_f01029303aa235e3","test","Vietnamese",7,"B2","pass",5.9976282119751,0.896633386611938,"B1","pass"
"essay_4a48bc1874fa6bd8","test","Hindi",5,"B1","pass",4.97822427749634,0.999006569385529,"B1","pass"
"essay_398ff6616530c1ae","test","French",6,"B1","pass",6.0442681312561,0.930264413356781,"B1","pass"
"essay_9f6b368413836fd4","test","German",11,"C2","pass",8.5273609161377,1.9931517769578e-08,"C1","pass"
"essay_29ed1ef73424b531","test","Chinese",4,"A2","fail",3.73227000236511,0.999908685684204,"A2","fail"
"essay_f62f28dfee581614","test","Arabic",6,"B1","pass",6.44503211975098,0.992860376834869,"B1","pass"
"essay_ab24a11256bf1dec","test","Japanese",5,"B1","pass",4.4908709526062,0.800167977809906,"A2","fail"
"essay_b7d5944077f97aa6","test","Japanese",7,"B2","pass",4.82257509231567,0.988062381744385,"B1","pass"
"essay_1f43dae5056fed15","test","Italian",6,"B1","pass",5.80725908279419,0.999750196933746,"B1","pass"
"essay_be1cf1d59e249420","test","Spanish",9,"C1","pass",7.93822717666626,0.999738156795502,"B2","pass"
"essay_d9fa8c4b3830c20d","test","Chinese",4,"A2","fail",4.00245952606201,0.988622963428497,"A2","fail"
"essay_7ee300b8b370af68","test","Italian",7,"B2","pass",6.75893497467041,0.0860961899161339,"B2","pass"
"essay_c06474ef321c9007","test","French",8,"B2","pass",8.04743003845215,0.999626874923706,"B2","pass"
"essay_4c3e48e709b44a1e","test","Portuguese",5,"B1","pass",5.86317443847656,0.999966025352478,"B1","pass"
"essay_4b7bc4d4d1ceb9da","test","Portuguese",5,"B1","pass",4.29305410385132,0.762588500976562,"A2","fail"
"essay_05c086ca705a8515","test","Vietnamese",7,"B2","pass",7.17456150054932,0.999012112617493,"B2","pass"
"essay_6f8be8bd44d9f4bd","test","Persian",6,"B1","pass",6.84236097335815,0.183491483330727,"B2","pass"
"essay_2e2e26302a63ebe8","test","Vietnamese",6,"B1","pass",7.01446008682251,0.970425665378571,"B2","pass"
"essay_e6c89b5561e5459e","test","Italian",11,"C2","pass",9.07184505462646,6.71329702939261e-09,"C1","pass"
"essay_d7a7df3e6b612439","test","Portuguese",5,"B1","pass",4.48508453369141,0.727625489234924,"A2","fail"
"essay_793110da20b96ba2","test","French",6,"B1","pass",5.1930775642395,0.993068337440491,"B1","pass"
"essay_011dc13983c14f84","test","Arabic",6,"B1","pass",7.17155170440674,0.990337610244751,"B2","pass"
"essay_d54f5f2a2d592360","test","French",6,"B1","pass",6.83388805389404,0.970251619815826,"B2","pass"
"essay_ece89da8db47ab6e","test","Vietnamese",4,"A2","fail",4.49333381652832,0.285740911960602,"A2","fail"
"essay_63ae94ef79cfc015","test","Chinese",7,"B2","pass",6.37870788574219,0.91846239566803,"B1","pass"
"essay_a43ec41271c2bd91","test","French",5,"B1","pass",5.03887939453125,0.913843393325806,"B1","pass"
"essay_aa7a3d167b1c0f02","test","Romanian",8,"B2","pass",7.79860162734985,0.999157667160034,"B2","pass"
"essay_73b8c7a552e0527e","test","Vietnamese",6,"B1","pass",5.75133323669434,0.999961137771606,"B1","pass"
"essay_3cc7e4d8128691cc","test","French",6,"B1","pass",7.88398504257202,0.998561918735504,"B2","pass"
"essay_e490ff64bb76eef0","test","Turkish",5,"B1","pass",5.22136211395264,0.990351140499115,"B1","pass"
"essay_4580d69df3558cbc","test","Portuguese",4,"A2","fail",4.66905546188354,0.97027975320816,"B1","pass"
"essay_b49122691e92c32a","test","Chinese",4,"A2","fail",3.35046815872192,0.999917149543762,"A2","fail"
"essay_f2a3e3d41905c14d","test","Italian",6,"B1","pass",6.74088668823242,0.0943404734134674,"B2","pass"
"essay_d6774faa964ce043","test","Portuguese",4,"A2","fail",3.63108372688293,0.999519467353821,"A2","fail"
"essay_0b695266ebcf8bf4","test","Chinese",6,"B1","pass",6.59873390197754,0.534839391708374,"B2","pass"
"essay_e4e5c14ccb745e26","test","Dutch",8,"B2","pass",6.82607650756836,0.995640993118286,"B2","pass"
"essay_c503ef5648c32ff9","test","Chinese",6,"B1","pass",6.18153190612793,0.939528584480286,"B1","pass"
"essay_318f150365999ba4","test","Chinese",5,"B1","pass",4.45177936553955,0.675587356090546,"A2","fail"
"essay_55d85340b05b8726","test","Portuguese",8,"B2","pass",8.31753444671631,0.999965310096741,"B2","pass"
"essay_3041aa6a3eb73408","test","Spanish",7,"B2","pass",7.45103645324707,0.998486518859863,"B2","pass"
"essay_7ca13a19fa0a7471","test","Romanian",7,"B2","pass",8.0517463684082,0.999723017215729,"B2","pass"
"essay_d3cf63cc8f6b69be","test","French",7,"B2","pass",7.51476001739502,0.999184310436249,"B2","pass"
"essay_fa0ee4ade4e6ff90","test","Chinese",4,"A2","fail",4.45137119293213,0.971989452838898,"A2","fail"
"essay_9f578f75345a3567","test","Arabic",5,"B1","pass",5.88049602508545,0.99987006187439,"B1","pass"
"essay_f925148db471cbef","test","Polish",7,"B2","pass",6.58703327178955,0.532482743263245,"B2","pass"
"essay_47d666de7f8fc801","test","Italian",7,"B2","pass",7.40926265716553,0.991216063499451,"B2","pass"
"essay_9b190fa1f18a0df8","test","Japanese",4,"A2","fail",5.15088748931885,0.999905705451965,"B1","pass"
"essay_19643448445c45ec","test","Japanese",6,"B1","pass",6.67126941680908,0.999276220798492,"B2","pass"
"essay_4b73eaacd934e7b2","test","Polish",7,"B2","pass",7.32536220550537,0.993255019187927,"B2","pass"
"essay_68dde90cc37e5e3d","test","Chinese",5,"B1","pass",4.49022817611694,0.779603481292725,"A2","fail"
"essay_a872ec4e1652654f","test","Spanish",8,"B2","pass",8.1951732635498,0.999902248382568,"B2","pass"
"essay_e1ead0a96bff9e07","test","Portuguese",3,"A2","fail",3.18832325935364,0.999993443489075,"A2","fail"
"essay_f194c96fd28ef915","test","Italian",6,"B1","pass",6.29544639587402,0.999927878379822,"B1","pass"
"essay_82378cb1aecf0803","test","Vietnamese",5,"B1","pass",4.80140113830566,0.992494583129883,"B1","pass"
"essay_cf0c96d780fee393","test","Spanish",7,"B2","pass",6.64439296722412,0.104913264513016,"B2","pass"
"essay_b568ff6a2739648f","test","Vietnamese",7,"B2","pass",6.41072082519531,0.989713430404663,"B1","pass"
"essay_f5aeeb85f226a366","test","Spanish",7,"B2","pass",6.30233669281006,0.901628196239471,"B1","pass"
"essay_ccbd9514a9f144a4","test","Japanese",6,"B1","pass",5.19903421401978,0.999678730964661,"B1","pass"
"essay_c86c65cf0d4ab85c","test","Spanish",6,"B1","pass",6.82751750946045,0.92363703250885,"B2","pass"
"essay_4390fe10130fcab7","test","Portuguese",4,"A2","fail",4.35077381134033,0.993157923221588,"A2","fail"
"essay_9d7f8af474e392f4","test","Polish",6,"B1","pass",6.81303787231445,0.278315335512161,"B2","pass"
"essay_c0681487cc87f075","test","Vietnamese",7,"B2","pass",6.54020309448242,0.566915094852448,"B2","pass"
"essay_4c6e3b4c4962fda8","test","French",8,"B2","pass",6.74263858795166,0.931220769882202,"B2","pass"
"essay_f33b16ef3df0f76a","test","Arabic",7,"B2","pass",6.75009441375732,0.969158291816711,"B2","pass"
"essay_936c2e7bf6ed472d","test","Burmese",4,"A2","fail",4.31220674514771,0.172959089279175,"A2","fail"
"essay_dcddb632c4d16f56","test","Portuguese",7,"B2","pass",7.52281665802002,0.999458491802216,"B2","pass"
"essay_fb640810a96e5dd6","test","Spanish",6,"B1","pass",5.8229193687439,0.998653888702393,"B1","pass"
"essay_d7f145fdcb58a2a2","test","Spanish",6,"B1","pass",4.90824604034424,0.999225497245789,"B1","pass"
"essay_7236350948e1e99b","test","Portuguese",5,"B1","pass",6.15883541107178,0.99997889995575,"B1","pass"
"essay_5a0d74bf755186c7","test","Japanese",4,"A2","fail",5.15707778930664,0.99482524394989,"B1","pass"
"essay_16c43358f44caa0c","test","Portuguese",6,"B1","pass",6.09701442718506,0.997260689735413,"B1","pass"
"essay_708ab11034015a70","test","Spanish",6,"B1","pass",5.93115043640137,0.9924356341362,"B1","pass"
"essay_c13170fd8e794688","test","Italian",7,"B2","pass",6.47580862045288,0.995065927505493,"B1","pass"
"essay_b83663efbe570c8b","test","Arabic",5,"B1","pass",5.73907279968262,0.999992847442627,"B1","pass"
"essay_2d6e27028d4a347b","test","Japanese",9,"C1","pass",9.11735820770264,6.46981412888437e-10,"C1","pass"
"essay_816d2cdf157df76a","test","Spanish",7,"B2","pass",7.92454481124878,0.998117923736572,"B2","pass"
"essay_0fec7b7caef562a0","test","Italian",6,"B1","pass",6.21154117584229,0.396679162979126,"B1","pass"
"essay_097bc0273464c4f2","test","Italian",11,"C2","pass",10.6202411651611,1.40983422852736e-11,"C2","pass"
"essay_3878cb70b76b2d51","test","Vietnamese",7,"B2","pass",7.03213405609131,0.99939501285553,"B2","pass"
"essay_4ab3c837d62fa27d","test","Romanian",9,"C1","pass",9.68258857727051,3.61547347615954e-10,"C1","pass"
"essay_75d4971f6e82b1f1","test","Vietnamese",3,"A2","fail",3.66347026824951,0.999494910240173,"A2","fail"
"essay_d442ddccec35dc58","test","Vietnamese",6,"B1","pass",5.75092220306396,0.998372375965118,"B1","pass"
"essay_7e7793d3f09f98bf","test","Portuguese",6,"B1","pass",6.85561847686768,0.984784007072449,"B2","pass"
"essay_15a53b5155a6ba26","test","Spanish",6,"B1","pass",5.48787784576416,0.997385442256927,"B1","pass"
"essay_c3c32cecc168f8b5","test","Spanish",6,"B1","pass",6.64237785339355,0.905075788497925,"B2","pass"
"essay_a00959f9fd752c0a","test","Hindi",7,"B2","pass",6.90498542785645,0.991683721542358,"B2","pass"
"essay_17233a7da763f256","test","Spanish",5,"B1","pass",5.79162359237671,0.99949848651886,"B1","pass"
"essay_d3f3b9f499904ac6","test","Vietnamese",6,"B1","pass",6.71077346801758,0.020329812541604,"B2","pass"
"essay_7ae644e897b45973","test","Dutch",6,"B1","pass",6.32850551605225,0.977419853210449,"B1","pass"
"essay_8f94d93a1458c6b3","test","Spanish",5,"B1","pass",5.7041130065918,0.999733984470367,"B1","pass"
"essay_606735e1357da65a","test","Chinese",6,"B1","pass",5.46334218978882,0.999857783317566,"B1","pass"
"essay_36284743e2615b5e","test","Vietnamese",7,"B2","pass",6.6014199256897,0.0183457750827074,"B2","pass"
"essay_a06004b5e6e88509","test","Portuguese",5,"B1","pass",5.24477291107178,0.999680876731873,"B1","pass"
"essay_f9b21bbf7b85af6e","test","Turkish",10,"C1","pass",7.95016145706177,0.999644875526428,"B2","pass"
"essay_ac06f3b72f1d5716","test","Spanish",7,"B2","pass",7.93390846252441,0.999942779541016,"B2","pass"
"essay_c188f200a854c665","test","Vietnamese",5,"B1","pass",6.09778165817261,0.999512672424316,"B1","pass"
"essay_89089575852aa284","test","Japanese",6,"B1","pass",6.70554161071777,0.016745712608099,"B2","pass"
"essay_3aaa68885bbcf444","test","Spanish",4,"A2","fail",4.50436401367188,0.858970522880554,"B1","pass"
"essay_a2b11bc909d2649b","test","Portuguese",5,"B1","pass",4.61878347396851,0.109196238219738,"B1","pass"
"essay_d487237b22c7eed7","test","Portuguese",7,"B2","pass",6.65510654449463,0.850713729858398,"B2","pass"
"essay_889ade9a75f1df3d","test","Portuguese",3,"A2","fail",3.8275032043457,0.999882936477661,"A2","fail"
"essay_16e4c1e8a32df7a5","test","Japanese",5,"B1","pass",6.22300958633423,0.524567782878876,"B1","pass"
"essay_7d7a27c1ad76ca76","test","German",11,"C2","pass",10.0464305877686,2.34948865918128e-10,"C1","pass"
"essay_f80058bd2f1c6b76","test","Vietnamese",7,"B2","pass",6.213547706604,0.471141397953033,"B1","pass"
"essay_880f22b6478b0025","test","Portuguese",7,"B2","pass",7.56749820709229,0.999749958515167,"B2","pass"
"essay_c6cd4374f87b02cb","test","Portuguese",7,"B2","pass",5.89135503768921,0.999206364154816,"B1","pass"
"essay_b28791465175da1c","test","Chinese",8,"B2","pass",6.43505620956421,0.192414611577988,"B1","pass"
"essay_437e94ac499488f6","test","French",9,"C1","pass",8.56476020812988,4.18944745561589e-09,"C1","pass"
"essay_28c9ce3966a2a7eb","test","Italian",6,"B1","pass",6.41077136993408,0.998082041740417,"B1","pass"
"essay_d5f8f6047c8c80fb","test","Czech",5,"B1","pass",4.70595788955688,0.735726356506348,"B1","pass"
"essay_f12d76ca2f9811ed","test","Hindi",7,"B2","pass",5.70730304718018,0.985427558422089,"B1","pass"
"essay_6c63c24b0ac9a608","test","Arabic",6,"B1","pass",5.63642454147339,0.999978065490723,"B1","pass"
"essay_b17009bf0bac1816","test","Vietnamese",4,"A2","fail",4.69451713562012,0.441696226596832,"B1","pass"
"essay_2b24b13887dfcbfa","test","Spanish",7,"B2","pass",6.44754362106323,0.63756936788559,"B1","pass"
"essay_5df7048ef53f17fb","test","Vietnamese",8,"B2","pass",6.71120023727417,0.0232299547642469,"B2","pass"
"essay_89cf60bf614be934","test","Polish",7,"B2","pass",6.11543750762939,0.987617969512939,"B1","pass"
"essay_7f0a72574b634e88","test","French",8,"B2","pass",7.42196846008301,0.961098611354828,"B2","pass"
"essay_c335351389353f4e","test","Chinese",7,"B2","pass",6.16439819335938,0.990356862545013,"B1","pass"
"essay_1de81ee974dfaad3","test","Arabic",7,"B2","pass",5.54416418075562,0.999978542327881,"B1","pass"
"essay_e42a45e1497fe3e5","test","Italian",7,"B2","pass",6.56462049484253,0.00899863801896572,"B2","pass"
"essay_a259c18575b36a49","test","Chinese",5,"B1","pass",5.3541693687439,0.99908721446991,"B1","pass"
"essay_e38ae962a94e098e","test","Japanese",3,"A2","fail",5.00307083129883,0.999930858612061,"B1","pass"
"essay_18e7194beb14149f","test","Spanish",7,"B2","pass",6.81718683242798,0.965707540512085,"B2","pass"
"essay_3630d5b09e8d0acb","test","Persian",7,"B2","pass",6.5276927947998,0.00344073795713484,"B2","pass"
"essay_35a82ae9c3885f86","test","Dutch",8,"B2","pass",5.93644905090332,0.996170938014984,"B1","pass"
"essay_9d6f19b6e3927fcf","test","Indonesian",4,"A2","fail",4.41752243041992,0.664629995822906,"A2","fail"
"essay_d337cec276acae33","test","Vietnamese",6,"B1","pass",5.78523063659668,0.999135911464691,"B1","pass"
"essay_e9603f7843108159","test","Spanish",6,"B1","pass",7.05730867385864,0.979765594005585,"B2","pass"
"essay_af54c0a68684f712","test","Chinese",6,"B1","pass",6.14615678787231,0.999540090560913,"B1","pass"
"essay_994b88da17be4f10","test","Portuguese",4,"A2","fail",4.32879829406738,0.983557879924774,"A2","fail"
"essay_1c6d66a29d70f071","test","Hindi",6,"B1","pass",7.02111530303955,0.995329618453979,"B2","pass"
"essay_89b274125484f385","test","Spanish",6,"B1","pass",5.69371795654297,0.999930858612061,"B1","pass"
"essay_ee8f9256ad0b2010","test","Japanese",3,"A2","fail",4.38936424255371,0.811208009719849,"A2","fail"
"essay_77dc40cb7ab4741f","test","French",5,"B1","pass",5.19731283187866,0.996728539466858,"B1","pass"
"essay_05abf92b688da064","test","Chinese",4,"A2","fail",5.07451677322388,0.990869164466858,"B1","pass"
"essay_4d8de7a0040b567a","test","Romanian",9,"C1","pass",8.74114036560059,4.90426144139633e-09,"C1","pass"
"essay_fec02a2f2b59e1cd","test","Portuguese",6,"B1","pass",5.69399738311768,0.999902248382568,"B1","pass"
"essay_226f7caca2bea69e","test","Burmese",6,"B1","pass",6.80529499053955,0.152060180902481,"B2","pass"
"essay_f274860c5208008b","test","Hindi",8,"B2","pass",7.16025495529175,0.991727471351624,"B2","pass"
"essay_c0b390c6d41cf8d2","test","Italian",7,"B2","pass",6.19166946411133,0.984368681907654,"B1","pass"
"essay_af024fe6e6bf3f70","test","Italian",9,"C1","pass",9.5030460357666,1.34239286353477e-09,"C1","pass"
"essay_b6fc5368e5d30414","test","Spanish",7,"B2","pass",6.86848020553589,0.283354490995407,"B2","pass"
"essay_2e3789628a4bfa2a","test","Chinese",6,"B1","pass",6.0216064453125,0.998932421207428,"B1","pass"
"essay_7a8ed655cb25c701","test","Portuguese",3,"A2","fail",4.74650096893311,0.57858145236969,"B1","pass"
"essay_267de30509689980","test","Japanese",7,"B2","pass",6.29242372512817,0.836497187614441,"B1","pass"
"essay_cd4bde73cdd04fb3","test","Persian",7,"B2","pass",6.47769641876221,0.744902491569519,"B1","pass"
"essay_030eeebf00cec829","test","Hindi",7,"B2","pass",7.42817974090576,0.989620685577393,"B2","pass"
"essay_68b8cc88498c3629","test","Spanish",6,"B1","pass",6.21456432342529,0.260380923748016,"B1","pass"
"essay_42d5c4cfdcd6de86","test","Portuguese",6,"B1","pass",5.22314167022705,0.998767912387848,"B1","pass"
"essay_ecbfbc46f6e8a074","test","Italian",11,"C2","pass",10.7610311508179,1.01057516521674e-10,"C2","pass"
"essay_0cc885d122c8b69f","test","Hindi",10,"C1","pass",8.57809829711914,3.787933022803e-10,"C1","pass"
